evidence beyond more,Realistic,459,6.25
long loss environment,Senen,399,1.58
police tree phone,Sedze,183,6.75
responsibility learn instead,Multiplication,297,3.52
cold him clearly,Senen,426,5.8
structure report positive,Chibi,138,2.41
only as evidence,Seinen,496,5.46
per forget moment,Chibi,271,9.87
two let improve,Multiplication,165,8.75
federal rate official,Chibi,159,1.13
collection available need,Realistic,81,7.24
may education forget,Dzesei,100,3.24
security light open,Sedze,249,6.85
compare near customer,Multiplication,122,3.81
response us threat,Sedze,194,6.74
station challenge whose,Dzesei,135,5.62
office shake case,Sedze,170,1.25
choice begin under,Sedze,323,3.83
realize born computer,Sedze,467,3.51
him time mission,Dzesei,192,7.01
item month bad,Dzesei,355,5.54
religious yard exist,Chibi,355,4.76
yet security ground,Dzesei,73,9.51
view size method,Multiplication,396,9.47
put hot out,Chibi,206,8.31
eye want character,Chibi,151,7.98
forget little strategy,Dzesei,378,6.28
rather right total,Dzesei,132,2.14
number media feel,Moe,452,5.69
front organization benefit,Moe,444,5.52
adult focus worry,Sedze,320,8.79
manager wear sit,Senen,398,1.15
blue will dog,Komodo,69,1.13
read available card,Senen,392,8.34
these north form,Dzesei,402,2.72
enough single offer,Chibi,470,6.94
set policy senior,Seinen,197,5.69
see exist over,Senen,320,1.31
as send home,Seinen,372,8.18
participant score this,Realistic,442,1.7
admit even that,Seinen,458,2.74
still consumer past,Sedze,500,1.26
economic sort group,Dzesei,328,4.31
not to across,Dzesei,233,5.75
authority long new,Dzesei,195,8.0
present government money,Dzesei,422,1.12
military south Republican,Multiplication,156,1.24
grow cover peace,Senen,339,1.54
six daughter boy,Sedze,425,7.63
here newspaper per,Seinen,362,5.76
spring international quality,Dzesei,335,1.19
development important research,Multiplication,289,4.5
be fast white,Seinen,385,7.74
member where store,Moe,309,6.07
writer admit everything,Realistic,377,6.41
reduce war so,Realistic,164,1.0
just well him,Seinen,472,1.91
career maybe series,Komodo,141,3.66
success fast service,Realistic,424,5.05
school how yourself,Senen,499,6.55
minute green purpose,Komodo,240,8.74
standard section knowledge,Multiplication,486,2.56
alone staff high,Sedze,488,2.07
fight difference method,Sedze,248,5.76
others any three,Sedze,219,6.29
hair business foreign,Seinen,401,5.86
television note reach,Moe,156,6.9
suffer someone happy,Multiplication,391,7.82
under operation five,Senen,288,5.37
notice argue if,Seinen,56,3.03
national can wear,Seinen,477,2.68
piece cost determine,Moe,62,7.46
several describe glass,Senen,476,7.12
box I billion,Chibi,100,8.58
design local modern,Chibi,320,7.23
future ok be,Realistic,317,9.44
television month be,Moe,237,5.76
catch quality realize,Sedze,51,4.78
fall arrive argue,Multiplication,230,2.64
career catch building,Dzesei,279,3.69
agency news follow,Chibi,82,8.49
important require authority,Moe,445,5.59
wish financial truth,Multiplication,263,8.81
mother issue character,Realistic,123,3.56
less skin final,Moe,418,1.97
week tell bill,Seinen,238,1.63
situation base debate,Seinen,234,3.1
hear go support,Moe,499,7.76
sense rate represent,Komodo,346,3.48
law development scientist,Dzesei,152,3.5
blood admit beyond,Komodo,206,6.78
section bag late,Dzesei,408,1.49
give total hair,Sedze,88,7.72
check soon with,Chibi,116,9.31
prove control scene,Sedze,73,8.64
town program finally,Seinen,131,3.48
study head friend,Dzesei,268,4.92
lot minute six,Multiplication,139,5.13
authority mean bank,Multiplication,366,4.67
science show science,Seinen,258,4.04
move play let,Dzesei,135,7.68
during own sell,Multiplication,414,9.98
material future try,Komodo,446,8.52
smile moment will,Multiplication,422,4.73
smile time care,Seinen,306,8.35
professor actually same,Seinen,291,3.97
check popular describe,Multiplication,149,5.01
bring run level,Senen,406,8.81
very continue none,Moe,223,1.15
of agreement ground,Realistic,286,7.29
direction structure trial,Sedze,361,5.64
close participant including,Seinen,104,8.12
whom party determine,Multiplication,309,3.31
wish operation role,Senen,430,6.57
still such blue,Seinen,337,2.67
yard moment assume,Senen,313,3.22
despite happen blood,Realistic,467,1.28
believe guy agree,Realistic,265,4.48
local direction get,Sedze,82,3.63
thank field man,Senen,278,3.92
take court industry,Moe,484,5.47
together billion pressure,Seinen,187,6.12
treatment official million,Chibi,326,9.14
act spring against,Realistic,445,3.66
especially might effect,Sedze,441,4.95
factor while decade,Moe,160,4.56
car finally half,Multiplication,267,8.23
produce set TV,Multiplication,468,3.81
support put will,Moe,64,6.14
read may opportunity,Sedze,368,1.91
should general run,Senen,231,5.42
this right anyone,Realistic,338,6.48
behind table better,Sedze,404,1.99
cost fire from,Sedze,106,6.16
find reflect network,Chibi,128,1.87
either into hold,Sedze,143,2.47
light opportunity election,Sedze,327,4.33
air take available,Seinen,275,3.14
phone entire news,Senen,170,4.12
send operation save,Dzesei,429,2.88
hot rule student,Moe,230,5.36
later big follow,Sedze,177,9.08
one claim present,Realistic,239,8.06
thought wear new,Senen,219,1.3
war baby mean,Sedze,320,9.3
hot ago wind,Senen,65,9.53
open poor its,Multiplication,168,7.36
to add even,Komodo,232,1.3
wear record join,Seinen,266,6.93
us trip wrong,Chibi,456,3.75
visit development positive,Chibi,294,6.34
for student room,Seinen,275,3.33
point street among,Multiplication,67,5.53
material you born,Seinen,270,1.12
office great left,Sedze,355,4.63
billion although agency,Realistic,350,9.67
once phone face,Chibi,131,6.17
draw always appear,Realistic,221,8.62
onto reduce side,Dzesei,401,1.43
shake learn vote,Dzesei,116,5.74
answer yeah threat,Sedze,405,4.11
believe next guess,Senen,471,5.72
night bring maintain,Dzesei,300,8.93
her break table,Sedze,204,4.54
physical back challenge,Chibi,485,1.09
candidate even peace,Realistic,497,9.11
hand floor specific,Realistic,145,2.88
factor born since,Realistic,404,9.95
much call organization,Chibi,351,6.42
business policy lose,Realistic,260,2.84
range face believe,Moe,377,4.29
forward purpose child,Moe,360,5.44
court poor measure,Moe,370,8.33
my important send,Komodo,57,6.82
month gun never,Seinen,351,6.33
free cell production,Komodo,317,9.21
writer push question,Sedze,148,8.7
body anything southern,Chibi,363,1.78
concern goal forward,Chibi,99,9.75
garden book similar,Sedze,323,1.72
region financial organization,Moe,63,6.76
trade read tell,Sedze,131,4.45
table bank network,Moe,170,8.91
look contain find,Dzesei,164,2.14
middle hundred forward,Chibi,417,2.72
letter tonight interest,Dzesei,176,2.03
manage perform car,Dzesei,291,9.1
build or institution,Realistic,368,2.78
choice school marriage,Seinen,278,4.39
together perform seven,Chibi,200,2.41
three rather level,Komodo,489,3.41
position art suggest,Chibi,416,5.13
part both smile,Dzesei,98,1.97
security might gas,Seinen,295,8.66
bit happen sell,Realistic,127,7.71
I right present,Realistic,211,1.58
game political poor,Moe,146,6.6
song run right,Sedze,149,5.52
today game citizen,Seinen,222,9.79
into throw Congress,Realistic,385,5.69
item first capital,Multiplication,207,4.33
left hard responsibility,Chibi,376,6.07
nation management enjoy,Seinen,127,3.17
senior today main,Senen,72,9.27
want table heavy,Multiplication,428,7.16
tree election rock,Komodo,240,8.24
citizen enjoy rate,Senen,141,1.58
society most it,Senen,334,2.88
your remember natural,Sedze,217,4.25
image food gun,Seinen,407,8.86
allow but may,Dzesei,142,9.99
what me that,Chibi,311,7.65
avoid pretty cell,Sedze,463,8.4
environment nor order,Realistic,471,5.09
often movie song,Dzesei,57,1.85
especially investment bank,Komodo,272,5.07
continue need enjoy,Moe,487,6.98
lot expert no,Chibi,389,1.98
check say between,Realistic,133,2.1
member seven newspaper,Chibi,271,5.91
top agent not,Sedze,487,5.93
would each four,Dzesei,93,2.45
foreign note executive,Moe,175,6.9
note record dark,Realistic,210,2.25
born between page,Chibi,224,8.86
government standard she,Multiplication,108,6.76
practice around goal,Moe,214,5.89
president position each,Dzesei,83,5.37
people direction certainly,Sedze,354,1.23
heavy listen difference,Seinen,110,6.97
political concern under,Dzesei,409,4.84
culture compare war,Senen,409,3.31
structure Mrs poor,Komodo,147,7.86
interview other particularly,Senen,230,1.51
people do able,Senen,381,9.81
write look start,Senen,163,2.65
attention majority inside,Dzesei,358,2.79
beat manage himself,Senen,54,8.28
eight plan change,Senen,368,1.26
and relationship night,Multiplication,344,9.15
break bed listen,Moe,457,6.06
professional any mind,Chibi,318,1.88
physical ground eat,Komodo,196,7.26
almost song from,Chibi,497,3.93
minute themselves various,Realistic,272,4.52
level next agent,Moe,454,2.92
rich bit truth,Komodo,222,8.19
water would back,Komodo,397,4.73
or amount indicate,Dzesei,259,4.38
control live international,Chibi,431,6.66
choose single former,Realistic,283,5.72
while present visit,Komodo,103,3.85
always baby must,Komodo,200,6.32
already could experience,Multiplication,89,3.96
color her cover,Moe,393,1.23
case for even,Dzesei,317,7.69
floor couple two,Sedze,188,4.99
ever partner recent,Chibi,461,2.67
per alone note,Realistic,404,8.65
one American right,Komodo,289,9.16
popular create over,Sedze,172,6.87
view food spring,Moe,125,5.02
personal reality order,Chibi,118,8.7
than guy world,Multiplication,436,7.45
relate like generation,Seinen,320,9.03
just real here,Komodo,126,4.84
make suddenly health,Senen,450,3.12
inside memory significant,Dzesei,392,1.71
which nearly loss,Senen,102,7.14
certainly able speak,Multiplication,159,7.56
of both sound,Sedze,421,8.18
value computer model,Multiplication,441,8.7
just art get,Seinen,475,1.41
church imagine move,Dzesei,411,4.92
safe drive hair,Sedze,86,6.07
expert able win,Seinen,483,9.02
weight improve any,Seinen,276,1.95
single season first,Chibi,396,4.92
job least rock,Komodo,311,2.29
those type hour,Seinen,124,6.73
include young best,Seinen,456,9.55
trouble Mrs family,Realistic,177,6.27
will far article,Komodo,240,4.63
will yes poor,Sedze,294,6.79
scientist performance thing,Komodo,271,4.3
agreement family party,Sedze,208,9.39
knowledge career itself,Dzesei,64,9.98
fly during story,Chibi,378,6.17
approach like think,Moe,313,8.2
teach fill seek,Seinen,402,3.29
company view main,Komodo,77,9.73
oil social get,Realistic,263,9.5
act budget focus,Moe,334,3.79
however candidate likely,Realistic,179,8.21
investment economy laugh,Senen,357,6.67
election care box,Seinen,107,7.57
star source less,Moe,82,6.46
environment save simply,Seinen,189,2.42
son natural painting,Seinen,80,6.99
physical green half,Seinen,255,1.51
discover difficult raise,Senen,498,1.3
book very property,Moe,203,9.69
animal certainly must,Komodo,257,9.27
always enter page,Realistic,265,5.03
clearly member above,Multiplication,290,9.28
need its hand,Seinen,387,6.47
only beyond year,Multiplication,283,9.07
exactly they painting,Senen,478,8.13
card behavior purpose,Chibi,387,2.29
effort create bill,Sedze,55,9.51
sit future whom,Senen,366,1.53
base behind dog,Komodo,230,4.33
still address southern,Chibi,468,6.1
color once forget,Seinen,453,3.06
understand home even,Multiplication,138,5.84
try kitchen various,Moe,213,8.0
almost set another,Sedze,152,3.19
reduce special customer,Dzesei,427,3.43
onto since same,Chibi,184,6.88
program save local,Komodo,430,2.36
rate baby agency,Sedze,405,6.77
sea matter really,Seinen,427,3.98
space let thing,Realistic,341,7.17
plan politics positive,Komodo,444,8.92
American authority environment,Realistic,492,9.82
site degree want,Chibi,500,1.3
meeting still those,Realistic,138,2.24
full least past,Multiplication,291,1.11
throughout back point,Realistic,301,5.9
forward stand any,Senen,158,3.19
or tax leg,Senen,97,3.15
tonight suggest participant,Dzesei,393,6.73
sign part some,Multiplication,141,3.87
social me market,Komodo,182,9.98
whether determine expect,Seinen,207,5.87
suggest drop know,Seinen,399,5.14
knowledge something voice,Multiplication,216,7.81
best family lot,Senen,398,2.55
point recognize put,Dzesei,224,8.87
rather natural adult,Dzesei,453,4.47
senior budget win,Seinen,256,5.49
country here management,Senen,194,6.82
seat also even,Multiplication,212,3.11
city same price,Komodo,408,7.36
economy by course,Moe,345,4.63
happen billion true,Realistic,265,6.9
various learn deep,Chibi,200,6.31
decision network decision,Sedze,158,5.51
professional just thus,Sedze,252,4.59
one technology keep,Chibi,381,4.22
majority little account,Seinen,448,5.34
put year determine,Dzesei,412,7.51
various realize home,Komodo,50,3.78
career suffer offer,Komodo,259,8.16
animal seek program,Sedze,87,1.05
task he understand,Multiplication,385,8.52
smile tree force,Dzesei,282,5.32
few matter popular,Moe,207,8.4
appear some sign,Multiplication,335,2.21
customer everything partner,Komodo,229,9.44
his some first,Komodo,308,5.43
pressure try several,Seinen,159,2.18
increase less natural,Dzesei,312,5.44
expect field trouble,Multiplication,350,2.47
series size thank,Realistic,176,9.27
such behind carry,Dzesei,182,3.24
somebody page cut,Realistic,446,7.0
believe manage east,Chibi,109,4.49
seat east bring,Moe,396,5.82
condition magazine town,Realistic,481,5.3
whatever same fund,Moe,442,3.22
group arm little,Sedze,104,5.73
nor cost everything,Senen,389,3.2
bag reduce watch,Moe,151,9.78
various yourself involve,Senen,83,8.71
hot several road,Dzesei,466,7.01
nation value policy,Realistic,182,4.49
teach still you,Multiplication,286,5.39
size baby thousand,Komodo,343,1.09
simple drop two,Sedze,272,2.17
music door simply,Moe,404,9.05
discussion perhaps according,Senen,477,4.53
sea hotel right,Chibi,179,2.21
common red weight,Komodo,100,5.51
fill structure floor,Seinen,57,8.15
issue hope vote,Sedze,377,4.55
air task animal,Seinen,371,5.46
character industry manager,Moe,55,8.02
study serve society,Seinen,198,2.59
situation professor often,Senen,253,8.3
stock nice mind,Dzesei,96,4.57
large recognize situation,Moe,475,3.93
traditional soon then,Komodo,342,5.27
stage Mr blue,Seinen,215,8.84
worry exactly benefit,Senen,300,6.54
son wide project,Sedze,334,8.52
government of hear,Realistic,470,6.58
stuff two environmental,Sedze,470,8.4
determine before follow,Moe,118,8.02
rest public language,Sedze,391,4.9
treat with act,Senen,469,7.61
call outside him,Komodo,159,9.7
across continue popular,Multiplication,431,1.18
think weight tough,Komodo,53,3.0
chair difference table,Komodo,54,1.94
point care resource,Realistic,408,6.96
out true beautiful,Realistic,220,9.04
nice not suffer,Moe,457,8.93
should term three,Moe,361,2.38
tell through change,Dzesei,242,8.74
score rich artist,Sedze,228,3.31
back its person,Komodo,292,3.2
by under get,Dzesei,483,9.72
write society investment,Moe,228,7.11
rise believe save,Multiplication,181,3.49
wear whether wall,Seinen,480,6.46
once mother marriage,Sedze,226,6.28
huge every impact,Seinen,198,6.48
quickly training cover,Realistic,188,4.92
might unit give,Sedze,466,9.04
face former pressure,Chibi,163,8.3
improve make clearly,Chibi,268,3.27
impact claim population,Seinen,96,6.06
wish war along,Moe,78,9.43
far mind policy,Seinen,99,1.97
court force chair,Moe,201,7.1
goal never building,Multiplication,346,2.22
area point particular,Komodo,225,1.29
black though history,Moe,125,1.82
spring either near,Realistic,500,7.58
face same produce,Sedze,311,6.66
mouth form argue,Komodo,445,5.72
million strong culture,Komodo,364,6.68
test little style,Sedze,183,1.71
free set care,Dzesei,294,5.7
yes stage listen,Sedze,417,9.8
according job firm,Realistic,116,8.8
consider fine scene,Seinen,130,4.99
theory investment get,Sedze,189,9.14
last official event,Seinen,487,1.2
choose capital daughter,Chibi,418,9.15
worker their him,Komodo,59,2.76
evidence clear church,Chibi,272,6.25
get physical move,Realistic,299,8.74
parent agree maybe,Moe,68,8.13
answer want dark,Sedze,130,8.21
almost big know,Senen,224,3.86
first skin worry,Dzesei,232,9.6
rest off including,Chibi,484,8.36
amount sister keep,Multiplication,171,3.15
plan especially box,Senen,207,7.53
lose much political,Dzesei,454,6.32
production actually scene,Chibi,118,5.37
decide either than,Komodo,207,5.72
art language fact,Sedze,195,6.06
although change note,Moe,253,2.35
put dog benefit,Seinen,461,1.75
apply movie not,Dzesei,131,9.3
put morning feeling,Realistic,324,4.69
pressure guess their,Seinen,194,7.57
serious stuff whose,Chibi,51,8.03
performance answer eat,Moe,201,3.88
true central trip,Multiplication,239,7.0
response writer every,Senen,152,2.07
way can accept,Sedze,372,3.75
move every meet,Dzesei,51,2.02
catch recently sound,Seinen,68,8.02
letter person whatever,Multiplication,193,3.63
later shoulder only,Senen,358,8.38
cut western lose,Chibi,490,7.6
whether human too,Chibi,224,4.03
American about I,Realistic,445,8.67
pay statement ever,Chibi,150,3.79
across during business,Chibi,437,3.83
create degree information,Seinen,284,3.68
little protect physical,Seinen,115,3.89
clearly magazine something,Senen,308,5.39
world laugh measure,Sedze,389,9.95
medical base accept,Multiplication,50,2.95
foot seek behind,Moe,482,2.06
usually quite off,Komodo,133,4.16
scientist suddenly agree,Chibi,183,4.56
method outside control,Komodo,367,1.95
tree early military,Komodo,345,1.51
accept go something,Dzesei,91,6.41
thus both something,Moe,147,9.55
which marriage audience,Senen,197,8.91
try physical least,Multiplication,497,6.33
trial evening trade,Senen,201,2.31
pass street create,Komodo,470,5.69
too spring anything,Seinen,119,4.77
blood citizen west,Realistic,153,8.61
white majority sort,Moe,305,5.75
whom forward add,Sedze,398,6.3
bag among yard,Multiplication,117,1.95
make hope current,Sedze,201,1.32
reason its best,Dzesei,380,6.62
side surface growth,Chibi,172,6.51
last science share,Seinen,334,2.76
popular majority very,Multiplication,415,6.13
its whether yet,Senen,373,4.45
difficult score gun,Seinen,155,1.58
guess very street,Komodo,217,4.95
none first edge,Dzesei,334,7.82
pick remain appear,Multiplication,77,6.86
without close picture,Moe,57,6.46
whose them cold,Dzesei,232,5.56
sort should other,Sedze,200,2.0
so current ability,Komodo,62,9.78
small across animal,Senen,148,8.05
nor continue early,Komodo,421,7.11
want address improve,Senen,320,9.48
particular current whole,Moe,73,8.39
share similar level,Dzesei,386,2.43
defense why shoulder,Chibi,307,3.23
tend able tree,Senen,248,6.03
set production speech,Senen,158,8.04
view someone police,Seinen,110,3.69
image of between,Dzesei,108,1.43
stage hope either,Sedze,435,7.79
trip theory usually,Komodo,65,4.22
tell offer leg,Chibi,335,3.89
cold whom outside,Realistic,417,7.74
mind practice ask,Moe,246,1.56
whose discuss against,Realistic,409,8.19
different understand force,Dzesei,460,5.67
put whether local,Chibi,296,4.79
